"table_name","column_name","data_type","character_maximum_length","column_default","is_nullable"
"tb_cliente","id_cliente","integer",NULL,NULL,"NO"
"tb_cliente","nome_fantasia","character varying",60,NULL,"YES"
"tb_cliente","pessoa_fisica_juridica","character",1,NULL,"YES"
"tb_cliente","razao_social","character varying",60,NULL,"YES"
"tb_cliente","cpf","integer",NULL,NULL,"YES"
"tb_cliente","cnpj","integer",NULL,NULL,"YES"
"tb_cliente","inscricao_estadual","character varying",30,NULL,"YES"
"tb_cliente","telefone","character varying",13,NULL,"YES"
"tb_cliente","email","character varying",50,NULL,"YES"
"tb_cliente","rua_endereco","character varying",50,NULL,"YES"
"tb_cliente","num_endereco","character",10,NULL,"YES"
"tb_cliente","bairro_endereco","character",40,NULL,"YES"
"tb_cliente","cidade_endereco","character varying",50,NULL,"YES"
"tb_cliente","estado_endereco","character",2,NULL,"YES"
"tb_cliente","cep_endereco","character",8,NULL,"YES"
"tb_cliente","compl_endereco","character varying",30,NULL,"YES"
"tb_cliente","instragram","character varying",20,NULL,"YES"
"tb_cliente","site","character varying",100,NULL,"YES"
"tb_cliente","dt_abertura","date",NULL,NULL,"YES"
"tb_cliente","status_cadastro","character",10,NULL,"YES"
"tb_cliente","des_banco","character varying",30,NULL,"YES"
"tb_cliente","agencia_banco","character varying",15,NULL,"YES"
"tb_cliente","conta_banco","character varying",15,NULL,"YES"
"tb_cliente","chave_pix","character varying",50,NULL,"YES"
"tb_cliente","flg_consentimento","boolean",NULL,NULL,"YES"
"tb_cliente","dt_hr_inclusao","timestamp without time zone",NULL,NULL,"YES"
"tb_cliente","dt_hr_alteracao","timestamp without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","id_cliente","integer",NULL,NULL,"NO"
"tb_cliente_atacado","dt_hr_inclusao","timestamp without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","dt_hr_alteracao","timestamp without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","dt_assinatura","date",NULL,NULL,"YES"
"tb_cliente_atacado","des_termos_contrato","character varying",20,NULL,"YES"
"tb_cliente_atacado","seg_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","ter_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","qua_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","qui_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","sex_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","sab_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","dom_funcionamento","boolean",NULL,NULL,"YES"
"tb_cliente_atacado","seg_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","ter_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","qua_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","qui_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","sex_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","sab_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","dom_hr_abertura","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","seg_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","ter_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","qua_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","qui_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","sex_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","sab_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_atacado","dom_hr_fechamento","time without time zone",NULL,NULL,"YES"
"tb_cliente_consentimento","id_cliente","integer",NULL,NULL,"NO"
